gpu_name,g3d_mark,tdp,category
Radeon HD 8350G,304,35,Mobile
Radeon HD 6520G,300,45,Mobile
GeForce 9600M GT / GeForce GT 220M,293,NA,Mobile
GeForce 610M,292,NA,Mobile
GeForce GT 415M,286,12,Mobile
Mobility Radeon HD 5165,284,35,Mobile
GeForce GT 520M,281,12,Mobile
GeForce GT 520MX,281,20,Mobile
GeForce 9700M GTS,278,60,Mobile
Radeon HD 6370M,276,11,Mobile
GeForce 9650M GS,270,29,Mobile
GeForce Go 7900 GTX,270,45,Mobile
Mobility Radeon HD 550v,266,NA,Mobile
GeForce Go 7950 GTX,264,45,Mobile
GeForce 410M,257,12,Mobile
Radeon HD 6480G,257,45,Mobile
Radeon HD 7640G + 8600M Dual,250,NA,Mobile
Mobility Radeon HD 5470,236,13,Mobile
Mobility Radeon HD 3670,232,NA,Mobile
Radeon HD 6470M,227,NA,Mobile
Radeon HD 7340M,221,NA,Mobile
Mobility Radeon. HD 5470,215,13,Mobile
GeForce GT 330M,214,23,Mobile
Mobility Radeon HD 5450,214,11,Mobile
GeForce GT 240M,213,23,Mobile
GeForce GT 230M,212,23,Mobile
GeForce 320M,210,20,Mobile
GeForce Go 7600 GT,210,NA,Mobile
GeForce Go 7800 GTX,210,65,Mobile
GeForce 9700M GT,209,45,Mobile
Radeon HD 6380G,201,35,Mobile
Mobility Radeon HD 545v,200,NA,Mobile
Radeon HD 6320M,198,NA,Mobile
Radeon HD 6430M,193,NA,Mobile
Mobility Radeon HD 2600 XT,192,NA,Mobile
Mobility Radeon HD 4550,191,NA,Mobile
Mobility Radeon HD 5430,181,7,Mobile
GeForce Go 7900 GS,176,20,Mobile
Mobility Radeon HD 530v,175,NA,Mobile
GeForce GT 325M,170,23,Mobile
GeForce G102M,168,NA,Mobile
Mobility Radeon HD 2600,168,NA,Mobile
Radeon HD 7310M,166,NA,Mobile
GeForce 305M,151,14,Mobile
GeForce GT 120M,151,23,Mobile
GeForce Go 7700,148,NA,Mobile
Radeon HD 6320,148,45,Mobile
GeForce GT 130M,146,23,Mobile
GeForce 9200M GE,144,NA,Mobile
Radeon HD 6300M,144,NA,Mobile
Mobility Radeon HD 4570,142,NA,Mobile
Mobility Radeon HD 3650,140,NA,Mobile
Radeon HD 6290M,140,NA,Mobile
GeForce Go 6800 Ultra,138,NA,Mobile
GeForce 9650M GT,137,23,Mobile
GeForce 9600M GT,136,23,Mobile
Mobility Radeon HD 4330,135,NA,Mobile
Mobility Radeon X1900,135,NA,Mobile
GeForce 9500M GS,134,20,Mobile
MOBILITY RADEON X1800,130,NA,Mobile
GeForce Go 7600,128,NA,Mobile
GeForce 8700M GT,124,29,Mobile
GeForce G105M,124,NA,Mobile
Radeon HD 7290M,123,NA,Mobile
GeForce 9500M G,122,20,Mobile
GeForce GT 220M,122,14,Mobile
Radeon HD 6310,122,45,Mobile
GeForce 9600M GS,118,20,Mobile
GeForce G210M,117,14,Mobile
GeForce 310M,116,14,Mobile
GeForce 315M,115,14,Mobile
GeForce Go 7800,115,35,Mobile
GeForce 9200M GS,111,13,Mobile
GeForce 8400M GS,109,11,Mobile
GeForce Go 6800,106,NA,Mobile
GeForce GT 320M,106,14,Mobile
GeForce9400M,106,NA,Mobile
Mobility Radeon X1700,105,NA,Mobile
Radeon HD 6290,105,45,Mobile
GeForce 9500M,104,NA,Mobile
Mobility Radeon HD 2400 XT,102,NA,Mobile
GeForce 9400M,101,NA,Mobile
Mobility Radeon HD 3430,98,NA,Mobile
Mobility Radeon HD 4250,98,NA,Mobile
GeForce 9300M GS,94,13,Mobile
Radeon HD 6250,94,35,Mobile
Mobility Radeon HD 3470,93,NA,Mobile
Mobility Radeon HD 4270,93,NA,Mobile
GeForce G205M,92,NA,Mobile
Mobility Radeon X1600,92,NA,Mobile
Mobility Radeon HD 3450,91,NA,Mobile
Mobility Radeon HD 4200,91,NA,Mobile
GeForce 8600M GT,90,20,Mobile
Mobility Radeon HD 2400,90,NA,Mobile
GeForce 9300M G,85,13,Mobile
Mobility Radeon X2500,82,NA,Mobile
GeForce 8600M GS,70,20,Mobile
GeForce Go 6600,69,NA,Mobile
GeForce 9100M G,68,NA,Mobile
GeForce 9400M G,68,12,Mobile
GeForce 8400M GT,67,14,Mobile
MOBILITY RADEON X700,67,NA,Mobile
GeForce Go 7400,66,NA,Mobile
Mobility Radeon HD 4225,66,NA,Mobile
GeForce G 103M,63,14,Mobile
GeForce G 105M,63,14,Mobile
